Location, Beer Name, Style, ABV, Link
SMYRNA, JOGR, Juicy Lager, 4.9% ABV, https://reformationbrewery.com/beers/jogr/ 
SMYRNA, Oren, Pale Ale - American, 5% ABV, https://reformationbrewery.com/beers/oren-pale-ale/ 
SMYRNA, A Cold One, Lager - Pale, 4.4% ABV, https://reformationbrewery.com/beers/a-cold-one/ 
SMYRNA, Silver Comet – Nolan V.10, IPA - New England, 7.2% ABV, https://reformationbrewery.com/beers/silver-comet-nolan-v-10/ 
SMYRNA, Jude, Belgian-Style Tripel, 9.2% ABV, https://reformationbrewery.com/beers/jude/ 
SMYRNA, Cadence, Belgian Dubbel, 6.9% ABV, https://reformationbrewery.com/beers/cadence/ 
SMYRNA, Haddy, Wheat Beer - Witbier, 4.8% ABV, https://reformationbrewery.com/beers/haddy/ 
SMYRNA, Mittens Does Cosplay, Blackberry & Blueberry Lemonade Sour, 4.7% ABV, https://reformationbrewery.com/beers/mittens-does-cosplay-2/ 
SMYRNA, Raspberry Lime Seltzer, Hard Seltzer, 5% ABV, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
SMYRNA, Orangezilla, IPA - Milkshake, 6.1% ABV, https://reformationbrewery.com/beers/orangezilla/ 
SMYRNA, Alani Rosé Ale, Sour - Fruited, 4.7% ABV, https://reformationbrewery.com/beers/sour-alani/ 
SMYRNA, Black IPA, IPA - Black / Cascadian Dark Ale, 6.4% ABV, https://reformationbrewery.com/beers/black-ipa/ 
SMYRNA, Makin’ It Snow, Cider - Sweet, 4% ABV, https://reformationbrewery.com/beers/makin-it-snow/ 
SMYRNA, Stark, Toasted Porter, 5.5% ABV, https://reformationbrewery.com/beers/stark/ 
SMYRNA, Declaration, Stout - Russian Imperial, 9.7% ABV, https://reformationbrewery.com/beers/declaration/ 
SMYRNA, Dr. Don Pecan, Pecan Doppelbock, 9.5% ABV, https://reformationbrewery.com/beers/dr-don-pecan/ 
SMYRNA, You’re Better Off Somewhere Else, Saison, 3.9% ABV, https://reformationbrewery.com/beers/youre-better-off-somewhere-else/ 
SMYRNA, SORBA Woodstock | DWWO V.11, Citra Hopped New England IPA, 6% ABV, https://reformationbrewery.com/beers/sorba-woodstock-dwwo-v-11/ 
CANTON, JOGR, Juicy Lager, 4.9% ABV, https://reformationbrewery.com/beers/jogr/ 
CANTON, A Cold One, Lager - Pale, 4.4% ABV, https://reformationbrewery.com/beers/a-cold-one/ 
CANTON, Silver Comet – Nolan V.10, IPA - New England, 7.2% ABV, https://reformationbrewery.com/beers/silver-comet-nolan-v-10/ 
CANTON, Haddy, Wheat Beer - Witbier, 4.8% ABV, https://reformationbrewery.com/beers/haddy/ 
CANTON, Cadence, Belgian Dubbel, 6.9% ABV, https://reformationbrewery.com/beers/cadence/ 
CANTON, Jude, Belgian-Style Tripel, 9.2% ABV, https://reformationbrewery.com/beers/jude/ 
CANTON, Stark, Toasted Porter, 5.5% ABV, https://reformationbrewery.com/beers/stark/ 
CANTON, Declaration, Stout - Russian Imperial, 9.7% ABV, https://reformationbrewery.com/beers/declaration/ 
CANTON, Etowah Pale Ale, Pale Ale - American, 4.8% ABV, https://reformationbrewery.com/beers/etowah-pale-ale/ 
CANTON, When the Sun Goes Down, Stout - Milk / Sweet, 7.4% ABV, https://reformationbrewery.com/beers/when-the-sun-goes-down/ 
CANTON, Oren, Pale Ale - American, 5% ABV, https://reformationbrewery.com/beers/oren-pale-ale/ 
CANTON, Dr. Don Pecan, Pecan Doppelbock, 9.5% ABV, https://reformationbrewery.com/beers/dr-don-pecan/ 
CANTON, Alani Rosé Ale, Sour - Fruited, 4.7% ABV, https://reformationbrewery.com/beers/sour-alani/ 
CANTON, No Simple Highway, Pilsner - Other, 4.7% ABV, https://reformationbrewery.com/beers/no-simple-highway-2/ 
CANTON, Raspberry Lime Seltzer, Hard Seltzer, 5% ABV, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
CANTON, I’m the Egg Man, Stout - Other, 7.5% ABV, https://reformationbrewery.com/beers/im-the-egg-man/ 
CANTON, Peachy Keen | Milkshake IPA, IPA - Milkshake, 6.6% ABV, https://reformationbrewery.com/beers/peachy-keen-milkshake-ipa/ 
CANTON, ramble with white tea, Sour with White Tea, 4.7% ABV, https://reformationbrewery.com/beers/ramble-with-white-tea/ 
CANTON, Batch #4, IPA - American, 6.8% ABV, https://reformationbrewery.com/beers/batch-4/ 
CANTON, Orangezilla, IPA - Milkshake, 6.1% ABV, https://reformationbrewery.com/beers/orangezilla/ 
CANTON, Coffee Saison, Farmhouse Ale - Saison, 4% ABV, https://reformationbrewery.com/beers/coffee-saison/ 
CANTON, What A Long Strange Trip It’s Been, BA Coffee Porter w/Vanilla, 6.5% ABV, https://reformationbrewery.com/beers/what-a-long-strange-trip-its-been/ 
WOODSTOCK, JOGR, Juicy Lager, 4.9% ABV, https://reformationbrewery.com/beers/jogr/ 
WOODSTOCK, A Cold One, Lager - Pale, 4.4% ABV, https://reformationbrewery.com/beers/a-cold-one/ 
WOODSTOCK, Woodstock Pale Ale, Pale Ale - American, 4.8% ABV, https://reformationbrewery.com/beers/woodstock-pale-ale/ 
WOODSTOCK, Haddy, Wheat Beer - Witbier, 4.8% ABV, https://reformationbrewery.com/beers/haddy/ 
WOODSTOCK, Cadence, Belgian Dubbel, 6.9% ABV, https://reformationbrewery.com/beers/cadence/ 
WOODSTOCK, Jude, Belgian-Style Tripel, 9.2% ABV, https://reformationbrewery.com/beers/jude/ 
WOODSTOCK, Stark, Toasted Porter, 5.5% ABV, https://reformationbrewery.com/beers/stark/ 
WOODSTOCK, Declaration, Stout - Russian Imperial, 9.7% ABV, https://reformationbrewery.com/beers/declaration/ 
WOODSTOCK, Alani Rosé Ale, Sour - Fruited, 4.7% ABV, https://reformationbrewery.com/beers/sour-alani/ 
WOODSTOCK, Oren, Pale Ale - American, 5% ABV, https://reformationbrewery.com/beers/oren-pale-ale/ 
WOODSTOCK, I’m the Egg Man, Stout - Other, 7.5% ABV, https://reformationbrewery.com/beers/im-the-egg-man/ 
WOODSTOCK, Raspberry Lime Seltzer, Hard Seltzer, 5% ABV, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
WOODSTOCK, Batch #4, IPA - American, 6.8% ABV, https://reformationbrewery.com/beers/batch-4/ 
WOODSTOCK, Peachy Keen | Milkshake IPA, IPA - Milkshake, 6.6% ABV, https://reformationbrewery.com/beers/peachy-keen-milkshake-ipa/ 
WOODSTOCK, Makin’ It Snow, Cider - Sweet, 4% ABV, https://reformationbrewery.com/beers/makin-it-snow/ 
WOODSTOCK, Silver Comet – Nolan V.10, IPA - New England, 7.2% ABV, https://reformationbrewery.com/beers/silver-comet-nolan-v-10/ 
WOODSTOCK, When the Sun Goes Down, Stout - Milk / Sweet, 7.4% ABV, https://reformationbrewery.com/beers/when-the-sun-goes-down/ 
WOODSTOCK, ramble with white tea, Sour with White Tea, 4.7% ABV, https://reformationbrewery.com/beers/ramble-with-white-tea/ 
WOODSTOCK, Orangezilla, IPA - Milkshake, 6.1% ABV, https://reformationbrewery.com/beers/orangezilla/ 
WOODSTOCK, No Simple Highway, Pilsner - Other, 4.7% ABV, https://reformationbrewery.com/beers/no-simple-highway-2/ 
WOODSTOCK, Coffee Saison, Farmhouse Ale - Saison, 4% ABV, https://reformationbrewery.com/beers/coffee-saison/ 
WOODSTOCK, Dr. Don Pecan, Pecan Doppelbock, 9.5% ABV, https://reformationbrewery.com/beers/dr-don-pecan/ 
WOODSTOCK, Princess Peach, Bière de Champagne / Bière Brut, 7.6% ABV, https://reformationbrewery.com/beers/princess-peach/ 
